# TV shows watched,# kids titles watched,# movies watched,# non-kids titles watched,# prime TV titles watched,# prime movie titles watched,# prime titles watched,# rent/buy TV titles watched,# rent/buy movies watched,# rent/buy titles watched,# titles added to watchlist,# titles purchased/rented,# titles watched,home country
0,0,0,0,0,0,0,0,0,0,0,0,0,
14,0,10,24,14,10,24,0,0,0,0,0,24,IT
