Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title
05/16/2017 14:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Pilot-I Love Dick
05/16/2017 14:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Pilot-Community - Season 1
05/16/2017 15:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Spanish 101-Community - Season 1
05/16/2017 15:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Introduction To Film-Community - Season 1
05/16/2017 15:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Social Psychology-Community - Season 1
05/16/2017 16:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Advanced Criminal Law-Community - Season 1
05/16/2017 17:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Football, Feminism And You-Community - Season 1
05/16/2017 17:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Anthropology 101-Community - Season 2
05/16/2017 18:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Accounting for Lawyers-Community - Season 2
05/16/2017 18:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,The Psychology of Letting Go-Community - Season 2
