"DeviceType","StartDate","EndDate","EventDuration","StartPosition","EndPosition","Title","Asin","BookLength","DeliveryType","NarrationSpeed","Bookmark","AudioType","AsinOwned","ListeningMode","Store","AppVersion","LocalTimezone"
"Audible for Android","24-JAN-2018","24-JAN-2018","39000","33986443","31732850","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","24-JAN-2018","24-JAN-2018","1200000","31783195","35366401","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","24-JAN-2018","24-JAN-2018","782000","35366401","36149006","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","24-JAN-2018","24-JAN-2018","1158000","36149192","37307822","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","24-JAN-2018","25-JAN-2018","5174000","37307822","42481831","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","25-JAN-2018","25-JAN-2018","409000","42481831","42889991","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","25-JAN-2018","25-JAN-2018","2006000","42889996","44895685","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","25-JAN-2018","25-JAN-2018","97000","44895689","44992512","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","25-JAN-2018","25-JAN-2018","409000","44992512","45401648","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","25-JAN-2018","25-JAN-2018","1035000","45400677","46441139","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","25-JAN-2018","25-JAN-2018","364000","46441348","46808405","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","25-JAN-2018","25-JAN-2018","3408000","46808405","50215566","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","769000","50215473","50984607","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","851000","50984607","51836594","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","22000","51836594","51856795","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","953000","51856795","52827324","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","488000","52827533","53317841","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","198000","53317845","53516464","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","30000","53516469","53546465","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","377000","53546608","53922761","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","23000","53922725","53946591","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","65000","53946591","54011932","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
