Playlist ID,Channel ID,Time Created,Time Updated,Title,Description,Visibility
UUCDGkiRGP_hZFf2XBVCWwWg,UCCDGkiRGP_hZFf2XBVCWwWg,,,Uploads from Davide,,

Video ID,Time Added
ARAdCLGvjw0,2014-03-25 16:21:28 UTC
QmnL2PmyLz4,2014-03-24 12:31:27 UTC

