CreationTime,InteractableType,InteractableURL,InteractionTime,InteractionType,InteractionValue,Marketplace,ModificationTime,Suppressed,Version
"07/30/2017 00:00:00 UTC","2115","https://www.amazon.it/gp/reviews/R1A8VSBDBFBNQN","07/30/2017 00:00:00 UTC","Helpful","1","www.amazon.it","09/29/2017 19:52:49 UTC","false","1"
"03/11/2017 00:00:00 UTC","2115","https://www.amazon.it/gp/reviews/R106MNL92N6X5F","03/11/2017 00:00:00 UTC","Helpful","1","www.amazon.it","09/29/2017 17:42:02 UTC","false","1"
"02/10/2017 00:00:00 UTC","2115","https://www.amazon.it/gp/reviews/R2GJPW9VW0NBUV","02/10/2017 00:00:00 UTC","Helpful","-1","www.amazon.it","09/29/2017 16:56:23 UTC","false","1"
"08/25/2016 00:00:00 UTC","2115","https://www.amazon.it/gp/reviews/R2DVFSZC30A4QY","08/25/2016 00:00:00 UTC","Helpful","-1","www.amazon.it","09/29/2017 12:38:19 UTC","false","1"
"10/16/2015 00:00:00 UTC","2115","https://www.amazon.it/gp/reviews/R3PQUW5FRWJGJX","10/16/2015 00:00:00 UTC","Helpful","1","www.amazon.it","09/29/2017 08:11:50 UTC","false","1"
"08/20/2015 00:00:00 UTC","2115","https://www.amazon.it/gp/reviews/R1TCH97LKLWB8B","08/20/2015 00:00:00 UTC","Helpful","1","www.amazon.it","09/29/2017 07:34:45 UTC","false","1"
