Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2019-11-13,60,1916.9388968556077,3565.687522649765,16.0,15,,,,,0.506539658319505,2.5398402214050293,0.25303253531455994,5279,,,,70161230,3857027,60373,
2019-11-14,83,2004.6350625533455,5532.789076566696,19.0,19,45.0476646,7.6356025,45.0901542,7.6765369,0.5880203517067374,41.0,0.2237747758626938,7223,,,,68031355,5255877,,
2019-11-15,,1680.0526796443494,32.29673957824707,,,,,,,0.3397342413663864,0.375223845243454,0.30424463748931885,271,,,,85302908,30175,,
2019-11-16,3,1682.440694717865,87.06077480316162,,,,,,,0.339944746898818,0.4063166081905365,0.26713117957115173,354,,,,85159037,70146,,
2019-11-17,,1678.2500515136528,49.8493127822876,,,,,,,0.35785997641489387,0.45636239647865295,0.24976664781570435,264,,,,85389092,,,
2019-11-18,,1682.2809222251701,80.03974413871765,,,,,,,0.3529955182007445,0.35780763626098633,0.2675173282623291,359,,,,85212550,67472,,
2019-11-19,,1688.328816229515,38.122567653656006,,,,,,,0.27682526414037295,0.28173089027404785,0.24834135174751282,407,,,,85306111,168704,,
2019-11-20,,1692.6147768652281,34.40304756164551,,,,,,,0.2866920530796051,0.3159463405609131,0.2574377655982971,314,,,,85031201,240445,,
2019-11-21,3,1682.3040411568138,153.05845832824707,,,,,,,0.3903319641301926,0.49011099338531494,0.23653677105903625,435,,,,86094757,67861,,
2019-11-22,,1682.0141908482549,23.16939926147461,,,,,,,0.3510515093803406,0.3510515093803406,0.3510515093803406,276,,,,85233446,63008,,
2019-11-23,2,1681.9971832822143,80.0397458076477,,,,,,,0.5863874870989321,0.9109274744987488,0.26200640201568604,277,,,,86107831,62722,,
2019-11-24,,1678.249917978448,17.552576065063477,,,,,,,0.2925429046154022,0.2925429046154022,0.2925429046154022,280,,,,85315391,,,
2019-11-25,1,1678.2500375927164,113.74068784713745,,,,,,,0.3296965819018019,0.4050801396369934,0.24584779143333435,499,,,,85153637,,,
2019-11-26,1,1678.2499638749312,63.189268469810486,,,,,,,0.48274873019441406,0.6845116019248962,0.2808411717414856,406,,,,85907543,,,
2019-11-27,,1680.0510031362194,36.50935745239258,,,,,,,0.3594237715005874,0.4146029055118561,0.30424463748931885,260,,,,85631051,30148,,
2019-11-28,,1681.8516104803423,10.531544804573059,,,,,,,0.2647557556629181,0.2647557556629181,0.2647557556629181,347,,,,85855696,60287,,
2019-11-29,2,1687.9793646795206,80.09333801269531,,,,,,,0.34684100443730304,1.05953848361969,0.2574377655982971,479,,,,84868161,162855,,
2019-11-30,59,1898.0935388529606,4587.4722455739975,44.0,42,45.0688608,7.690778,45.0700675,7.6940451,0.791390160968163,2.0988898277282715,0.2925429046154022,6381,,,,77209883,3679854,,
2019-12-01,40,1812.6986459297727,2416.294816493988,12.0,12,,,,,0.48458935282092747,1.6637308597564697,0.2808411717414856,3765,,,,82689343,2250472,,
2019-12-02,13,1752.9769196734492,556.8226437568665,,,,,,,0.5197907238010087,0.9861351847648621,0.2574377655982971,1448,,,,80760962,1250819,,
2019-12-03,37,1845.180208688082,1696.0932612419128,1.0,1,,,,,0.5877225129045209,1.5085140466690063,0.2564622759819031,2853,,,,75517952,2794165,,
2019-12-04,,1683.658446341006,88.46498227119446,,,,,,,0.35214101083786775,0.4267672896385193,0.3510515093803406,467,,,,84168838,90530,,
2019-12-05,93,2029.204505907024,5817.99253153801,42.0,42,,,,,0.6381150388970035,1.531510591506958,0.2574377655982971,8301,,,,74488757,5874456,,
2019-12-06,1,1682.5543779865366,32.998841285705566,,,,,,,0.45643532276153564,0.45643532276153564,0.45643532276153564,208,,,,85675714,72048,,
2019-12-07,1,1696.159009362764,44.23248863220215,,,,,,,0.3159463405609131,0.3510515093803406,0.2808411717414856,364,,,,85211982,299771,,
2019-12-08,,1684.760644618721,60.380859375,,,,,,,0.4411832389427702,0.5917149782180786,0.3510515093803406,324,,,,86096964,108978,,
2019-12-09,107,2030.381309280243,6869.281514394269,40.0,40,,,,,0.6888069353337856,18.200532913208008,0.2500830888748169,10373,,,,60930746,5894154,,
2019-12-10,71,1932.4621614499836,4573.207054865375,7.0,7,,,,,0.6044219047014043,1.3713358640670776,0.2808411717414856,6597,,,,76375127,4255134,,
2019-12-11,1,1678.2500200508775,87.06077289581299,,,,,,,0.45967501208915257,0.8609766364097595,0.3632565140724182,415,,,,85736660,,,
2019-12-12,,1678.2498851010428,21.063091278076172,,,,,,,0.47213268280029297,0.47213268280029297,0.47213268280029297,273,,,,82869682,,,
2019-12-13,1,1684.0804716785835,65.99768447875977,,,,,,,0.30548829818042716,0.3510515093803406,0.2574377655982971,596,,,,84086720,97594,,
2019-12-14,56,1890.7899821533713,3451.9975905418396,16.0,16,,,,,0.4661607073921557,1.690151572227478,0.2610850930213928,5131,,,,74343724,3557604,,
2019-12-15,40,1860.6777042645688,1778.077296257019,,,,,,,0.5515486178851644,1.6164501905441284,0.26913946866989136,3124,,,,73694278,3053569,,
2019-12-16,21,1749.1832936341139,852.384569644928,,,,,,,0.46145382468839985,1.1833837032318115,0.2485647350549698,1549,,,,84203245,1187319,,
2019-12-17,19,1745.4264813108973,808.4757006168365,,,,,,,0.32983855816888913,1.1537988185882568,0.24791671335697174,1656,,,,83065705,1124434,,
2019-12-18,36,1802.9839416394807,1731.1573543548584,,,,,,,0.4649062518798669,1.574676275253296,0.27501219511032104,3031,,,,80692452,2087862,,
2019-12-19,3,1691.3828955321342,281.5203695297241,,,,,,,0.33161403902124087,0.9915626049041748,0.246274933218956,806,,,,85234067,219826,,
2019-12-20,1,1695.6954838273873,113.74068832397461,,,,,,,0.3594494325343114,0.6048189401626587,0.2808411717414856,646,,,,84455683,292011,,
2019-12-21,9,1717.1305401434454,631.4472532272339,1.0,1,,,,,0.4642398754318671,1.3364421129226685,0.26913946866989136,1246,,,,80447899,650804,,
2019-12-22,1,1683.8680036744013,42.828285217285156,,,,,,,0.5141356587409973,0.5141356587409973,0.5141356587409973,292,,,,84779775,94039,,
2019-12-23,55,1890.7428535382871,4143.080682754517,32.0,32,,,,,0.4747590456504556,1.6823195219039917,0.2574377655982971,5894,,,,72791682,3556816,,
2019-12-24,12,1716.2274311485098,814.6286796331406,6.0,6,,,,,0.46272609972282935,1.3528649806976318,0.2574377655982971,1360,,,,82072413,635686,,
2019-12-25,14,1763.5467248440232,710.2076692581177,,,,,,,0.4793810205005727,1.0462942123413086,0.2574377655982971,1751,,,,77803759,1427741,,
2019-12-26,34,1831.6543821976788,2482.346464395523,11.0,11,,,,,0.47722887347360454,1.575540542602539,0.2808411717414856,3715,,,,82366059,2567763,,
2019-12-27,17,1739.216292655201,791.3331127166748,,,,,,,0.37006481121877594,1.303147792816162,0.26284733414649963,1747,,,,82277592,1020486,,
2019-12-28,14,1728.2427295085765,545.347898721695,,,,,,,0.6830114182398912,1.1437973976135254,0.2511289417743683,1253,,,,84289987,836805,,
2019-12-29,24,1767.2740767516777,836.9885926246643,,,,,,,0.5182304635493789,0.9823675751686096,0.25178614258766174,1590,,,,83475775,1490132,,
2019-12-30,10,1749.3400464425656,510.83281803131104,,,,,,,0.4294453227825092,0.8958024978637695,0.24666307866573334,1210,,,,84035352,1189943,,
2019-12-31,6,1712.716283160254,299.79798793792725,,,,,,,0.5210611547578924,0.9411122798919678,0.2502285838127136,851,,,,83736180,576916,,
2020-01-01,18,1712.5545460152423,749.2195835113525,,,,,,,0.5248939200762961,0.946306586265564,0.2574377655982971,1614,,,,83951917,574209,,
2020-01-02,39,1839.5222782310443,1878.3332867622375,1.0,1,,,,,0.40366427398935356,1.5177948474884033,0.26913946866989136,3280,,,,74082222,2699458,,
2020-01-03,1,1694.1168626847882,57.57244873046875,,,,,,,0.32890212535858154,0.3510515093803406,0.3067527413368225,167,,,,85455312,265588,,
2020-01-04,,1684.4072140709197,12.63785457611084,,,,,,,0.24576692283153534,0.24576692283153534,0.24576692283153534,256,,,,83616374,103065,,
2020-01-05,1,1681.842733811728,63.18927049636841,,,,,,,0.4333215359410461,0.7012391090393066,0.33934974670410156,309,,,,85624279,60140,,
2020-01-06,,1678.249998794774,34.40304756164551,,,,,,,0.40580086410045624,0.5098587274551392,0.3017430007457733,169,,,,86362323,,,
2020-01-07,,1689.1585106792936,79.6149959564209,,,,,,,0.3584139377036036,0.6254331469535828,0.2808411717414856,382,,,,84787430,182593,,
2020-01-08,2,1687.5062581529724,119.35751152038574,,,,,,,0.3616815017210175,0.480564683675766,0.3510515093803406,440,,,,85130946,154938,,
2020-01-09,20,1758.5651119994502,1413.4160733222961,10.0,10,45.2349253,7.5971595,45.237446,7.5985682,0.3915430177854983,1.4391502141952515,0.2574377655982971,2134,,,,82923424,1344357,,
2020-01-10,,1678.249852880317,96.18811321258545,,,,,,,0.34807797924078043,0.4106833040714264,0.2574377655982971,435,,,,85051685,,,
2020-01-11,,1681.8561199496671,54.76403474807739,,,,,,,0.31009548902511597,0.3510515093803406,0.26913946866989136,319,,,,85367360,60363,,
2020-01-12,1,1678.2499073758445,41.4240779876709,,,,,,,0.37683165693288817,0.7783515453338623,0.2574377655982971,202,,,,86165137,,,
2020-01-13,,1678.2499325745646,14.042060852050781,,,,,,,0.27958178520202637,0.27958178520202637,0.27958178520202637,196,,,,85246565,,,
2020-01-14,1,1689.6396847528201,84.95446395874023,,,,,,,0.39873246288191133,0.862663209438324,0.3510515093803406,395,,,,85883491,190647,,
2020-01-15,2,1678.2500604437512,88.46498274803162,,,,,,,0.5677438199530271,0.788313090801239,0.25679662823677063,372,,,,85996961,,,
2020-01-16,,1678.249960855482,2.106308937072754,,,,,,,,,,382,,,,85269375,,,
2020-01-17,75,1653.0470292549821,4944.385448217392,52.0,50,45.0610748,7.677748,45.0695757,7.6966029,0.7793757239965091,11.913642883300781,0.2574377655982971,7555,,,,61584485,4082553,,
2022-08-01,,1678.25,,,,,,,,,,,,,,,,,,
2022-08-02,21,1650.192971055076,,21.0,21,,,,,,,,,,,,,,,1426481
2022-08-03,,1678.2499950046406,,,,,,,,,,,,,,,,,,
2022-08-04,5,1340.880964494105,,5.0,5,,,,,,,,,85.20613486156792,86.30000305175781,84.0,,,,377588
2022-08-05,,1791.25,,,,,,,,,,,,,,,,,,
2022-08-06,7,1585.663071801758,,7.0,7,,,,,,,,,,,,,,,522653
2022-08-09,,600.6373060185185,,,,,,,,,,,,,,,,,,
2022-08-10,,1791.25,,,,,,,,,,,,,,,,,,
2022-08-11,9,1379.2401334803828,,9.0,9,,,,,,,,,84.0,84.0,84.0,,,,649031
2022-08-21,,1768.2498405612243,,,,,,,,,,,,,,,,,,
2022-08-22,,669.3692989443714,,,,,,,,,,,,85.3499984741211,85.3499984741211,85.3499984741211,,,,
