"DateAdded","Title","Asin","IsDownloaded","IsDeleted","DeleteBy","DateDeleted","IsPublic","IsStreamed","IsPreorder","Downloads","DateFirstDownloaded","OrderNumber","OriginType"
"07-FEB-2018","Karl Marx: Das Kapital (Unabridged)","1481542338","Y","Y","Audible","08-FEB-2018","N","N","N","1","08-FEB-2018",,"AYCE"
"30-JAN-2018","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","Y","Y","Audible","01-FEB-2018","N","N","N","1","30-JAN-2018",,"AYCE"
"22-JAN-2018","Harry Potter e il Prigioniero di Azkaban (Harry Potter 3)","B077HVX4WM","Y","Y","Audible","06-FEB-2018","N","N","N","1","31-JAN-2018",,"AYCE"
"22-JAN-2018","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","Y","Y","Audible","06-FEB-2018","N","N","N","2","22-JAN-2018",,"AYCE"
"22-JAN-2018","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","Y","Y","Audible","30-JAN-2018","N","N","N","1","27-JAN-2018",,"AYCE"
