Profile Name,Show,Has Watched,Is Interested,Event Date
davide,Sex Education,,,2021-11-29
davide,How I Met Your Mother,,,2021-11-29
davide,Stranger Things,,,2021-11-29
davide,Modern Family,,,2021-11-29
Ricky,Baggio: The Divine Ponytail,,,2021-12-06
Ricky,Peaky Blinders,,,2021-12-06
Ricky,Rick and Morty,,,2021-12-06
